latitude,longitude,roof_area_sqm,annual_ghi,avg_temperature,system_size_kw,tilt_angle,annual_generation_kwh
8.9285,73.5687,38.8,2067.77,32.85,7.15,5.0,10516.66
32.5517,87.3339,432.7,1793.66,26.5,71.76,26.2,99780.73
14.9871,86.078,127.4,2107.16,29.48,21.53,17.3,36160.06
25.8881,85.4716,79.8,1802.7,28.61,12.53,29.1,18127.41
16.4162,82.2038,22.2,2138.19,32.85,3.12,6.9,4455.94
22.0418,83.331,67.7,2011.69,26.73,11.31,22.8,17684.1
22.7612,77.6988,59.3,2012.36,32.32,10.51,28.5,15779.99
12.9911,83.0601,27.3,2110.87,33.22,4.09,5.0,6813.99
34.1788,73.7291,33.8,1615.54,24.53,5.42,32.4,6963.25
28.9286,91.3501,140.7,1901.52,22.53,26.33,25.5,41853.66
33.3665,73.3875,46.2,1721.77,27.82,6.09,41.6,8098.67
32.1603,70.464,121.9,1653.93,21.68,19.94,25.9,25479.45
24.1433,80.6511,20.7,2017.58,29.79,3.06,20.5,4717.2
32.8906,87.0909,30.2,1919.92,21.81,5.33,40.9,8491.58
10.3893,80.6938,118.2,2153.69,32.69,14.37,7.0,21658.06
13.2915,76.0259,23.9,2277.48,34.2,4.14,13.9,7390.87
9.2211,84.187,430.4,2185.32,36.51,55.19,5.0,85827.7
16.7839,78.0631,470.1,2011.45,28.5,58.85,26.5,84665.42
18.4943,95.0532,85.4,1960.67,32.46,15.2,25.0,23243.97
15.3264,94.7567,120.6,2199.09,33.79,20.65,18.0,32402.54
30.3759,82.5688,201.9,1734.82,23.05,38.68,21.6,52325.63
17.6323,77.5086,40.7,2085.44,33.86,6.58,9.1,9814.58
15.5852,89.3768,52.1,2018.73,28.67,8.47,16.5,11561.11
22.6528,69.0647,24.5,1899.43,27.16,4.33,18.4,6427.71
11.805,81.7683,41.3,2213.93,34.25,6.02,14.3,10000.28
29.6593,77.7534,121.2,1779.73,23.55,14.9,31.6,18706.54
10.0129,94.6955,114.1,2131.38,34.62,15.79,16.8,23863.67
34.6459,68.3481,34.3,1811.0,23.49,4.77,30.3,6085.32
28.8506,84.0316,40.2,1952.48,25.24,5.91,30.4,9277.21
13.3653,89.4792,127.4,2155.0,34.25,24.9,18.9,42385.61
8.1491,82.0655,49.0,2144.93,34.48,9.03,8.0,15143.96
30.0175,70.4767,138.9,1762.84,25.56,27.06,36.6,38188.36
27.0851,96.2014,129.5,1862.86,28.7,25.88,19.7,35289.61
27.6832,83.0223,40.8,1871.38,27.72,6.32,32.4,9242.6
28.8243,85.8114,37.2,1746.13,27.2,5.14,37.7,6751.47
9.9992,74.8617,62.1,2221.86,31.8,10.23,6.6,17230.94
17.6786,82.0214,25.0,2032.63,31.69,4.76,15.0,7634.54
11.1285,80.4453,44.6,2006.43,31.84,7.02,5.0,11106.09
31.3038,70.172,44.1,1706.22,21.95,7.07,34.1,9259.0
24.829,71.0787,38.4,1856.75,27.28,5.03,25.9,6689.07
16.9342,92.2867,33.2,2033.35,29.17,5.1,7.7,7661.9
9.7161,74.9548,52.6,2320.25,35.81,7.94,14.8,13391.99
16.3965,73.6538,82.7,2067.92,32.85,12.25,23.0,19027.3
16.7799,82.6424,92.1,1974.7,27.24,17.58,24.9,27269.7
27.6994,90.2937,98.6,1863.06,24.48,12.3,28.6,16152.39
25.2141,69.7964,47.9,1861.98,24.33,9.47,24.3,13289.81
31.9547,84.7274,23.3,1794.8,23.3,2.81,39.5,3684.7
20.7498,71.4571,101.9,2016.95,30.17,19.93,18.7,32427.66
11.229,69.0574,86.8,2238.62,33.06,14.22,14.3,23556.96
27.2576,69.5296,149.0,1851.42,25.15,26.25,29.6,36657.38
28.5412,92.1908,136.2,1961.38,28.36,18.38,26.0,28269.65
23.1545,71.4212,93.9,1999.86,23.57,16.18,14.9,24020.2
28.8161,69.3094,50.0,1768.71,28.11,9.53,19.2,12601.77
21.3325,80.6991,101.4,2136.8,27.91,13.3,19.9,23793.35
22.1138,92.4758,66.7,1972.11,28.49,8.68,21.7,14325.14
19.5436,75.6098,344.6,1925.41,28.75,49.73,26.0,70671.12
8.6863,80.2297,72.6,2319.88,37.78,9.65,7.0,16333.91
10.9131,69.1578,113.6,2313.79,31.23,14.64,6.5,24638.24
8.8486,81.0233,143.7,2182.08,34.64,25.05,8.1,36959.98
25.1831,84.7508,425.2,1850.41,28.32,58.29,19.9,85941.36
16.4876,84.5563,245.6,2033.43,27.96,42.58,8.3,72981.14
21.7314,77.6404,79.7,2010.01,26.98,15.06,14.0,22372.96
32.5043,77.1505,56.9,1861.15,23.68,9.8,28.9,13569.01
14.7309,71.0921,28.6,2124.48,30.2,3.7,5.0,5749.0
19.0803,78.6372,59.3,2008.69,28.38,9.83,13.5,15001.51
28.3999,70.8853,99.9,1952.64,25.12,15.14,34.2,21364.43
14.1776,90.2313,120.8,2063.78,33.52,17.82,8.9,26641.89
10.0785,96.022,42.5,2245.06,33.38,6.19,5.0,10840.2
15.8233,96.1322,56.0,2036.14,33.64,10.87,24.8,16321.4
12.353,93.0871,30.2,2156.13,31.05,5.42,14.8,9390.3
33.1018,85.423,78.8,1739.08,21.2,10.3,24.3,14061.56
29.8193,88.3251,23.1,1802.79,29.03,3.66,21.1,4662.1
25.1019,76.271,86.2,1861.97,25.99,12.55,27.3,17513.34
31.5294,86.2923,29.0,1884.06,21.79,5.74,32.3,8628.91
29.6991,81.2138,39.0,1750.78,21.75,7.74,21.1,9844.46
13.0374,81.9785,138.3,2050.11,34.88,20.14,7.5,28515.89
32.0991,89.9755,33.6,1935.9,23.47,4.99,40.7,6945.5
22.5622,76.1756,124.7,2016.11,27.94,20.94,24.0,33237.34
29.8009,77.2231,201.1,1616.77,24.87,31.84,28.6,39296.75
32.1945,94.8146,463.2,1719.28,26.14,63.49,27.2,88420.01
16.5861,69.6305,24.6,1900.49,30.78,4.25,9.3,5749.48
10.9714,82.0834,69.2,2070.46,38.35,10.16,9.0,13543.75
14.1542,94.4712,23.2,1838.14,32.5,4.0,22.6,5386.59
19.5319,85.7005,258.4,1981.47,31.93,38.94,10.5,61619.52
30.0864,83.8458,105.2,1711.09,26.67,18.52,39.9,23870.35
31.2397,75.2426,49.6,1786.48,24.47,8.61,25.4,11001.94
8.1877,77.955,43.8,2066.61,33.74,7.04,6.4,10006.89
21.7902,92.7094,31.4,1958.41,29.46,5.54,12.7,8569.12
19.2701,84.2173,107.6,1963.94,30.95,16.88,21.0,24100.48
13.9969,82.9275,38.7,2212.21,31.16,5.0,13.7,9054.95
11.2364,70.8878,132.3,2254.65,33.88,17.8,14.6,30867.73
17.1156,68.4648,123.6,2098.75,33.37,17.27,18.0,26206.11
33.4586,95.9469,349.3,1715.62,27.68,43.68,31.4,60824.88
16.7265,78.9326,384.2,2201.75,32.78,67.97,21.5,106332.74
22.0073,85.4932,42.4,1823.62,32.42,6.33,12.5,7873.44
26.9815,70.3117,63.3,1746.05,25.2,8.07,27.8,10480.11
17.818,87.8103,70.0,2016.57,31.99,13.0,10.1,20162.49
34.2381,95.0444,391.0,1908.04,25.87,68.31,33.0,106663.15
33.9861,84.6943,45.5,1716.06,21.51,7.11,39.8,9293.37
14.7981,71.6573,32.3,2062.97,30.97,4.51,7.6,6284.33
21.4257,84.8699,49.4,1842.98,32.43,6.53,30.1,8179.35
16.1237,90.2241,26.5,2129.45,29.39,4.15,23.9,6260.94
15.6907,79.7861,32.5,2137.82,28.86,6.2,14.0,9471.82
8.9959,93.5153,31.4,2245.2,37.61,4.24,5.0,7058.78
24.4582,86.8118,143.0,1853.41,29.99,23.67,30.3,36146.54
21.5723,94.0782,28.6,1899.16,29.76,5.62,29.2,8297.64
9.3899,86.0817,97.1,2071.53,34.28,16.6,5.0,24048.38
15.5235,71.8074,25.6,2071.29,30.74,3.98,23.8,5912.98
32.5232,76.9811,332.4,1672.15,24.53,58.95,40.8,73242.94
14.4682,73.8521,450.1,1989.38,35.25,83.7,13.9,126759.35
11.9122,94.356,80.4,2095.69,33.72,13.45,17.9,22477.06
21.2152,90.0516,433.8,1922.99,33.39,82.31,20.1,116144.42
34.6126,87.6156,47.3,1677.94,21.23,7.63,35.9,10874.67
14.5355,76.728,57.3,2119.68,32.02,10.68,10.9,18762.28
26.1477,73.3373,42.7,1879.67,26.09,8.37,19.3,11759.17
28.5637,89.9371,27.7,1806.8,23.58,4.43,33.5,6069.72
14.4162,81.7506,25.3,2099.15,31.81,4.25,5.0,6459.39
27.6618,74.5479,110.1,1766.76,26.99,18.58,29.3,25358.92
17.9301,85.882,41.2,2029.68,31.58,7.51,25.2,11120.44
25.0723,69.1697,89.5,1904.75,31.66,16.63,19.5,24692.43
25.1053,77.4589,21.2,1771.86,28.23,2.59,21.8,3226.94
22.4659,81.5882,468.0,2019.27,30.79,83.63,24.2,124571.99
10.4378,72.2908,123.1,2085.6,34.04,22.49,5.4,35299.85
30.5532,96.555,28.2,1801.27,28.21,4.96,37.5,7028.96
16.6611,74.0638,34.9,2137.25,35.9,6.18,14.0,10847.27
13.036,71.7802,52.8,2183.41,33.8,6.51,14.7,9958.39
9.1009,73.9025,30.2,2182.93,32.52,4.69,5.0,7400.71
23.9541,90.3028,102.3,1883.83,26.72,18.96,14.8,23857.17
26.2942,80.3397,101.7,1946.5,27.33,19.81,19.8,27592.01
8.4479,84.3971,26.2,2245.91,35.71,3.63,5.0,5490.89
21.8265,68.6093,43.3,1901.65,30.17,7.2,21.2,10166.83
14.1154,68.9985,29.0,2026.33,33.17,5.34,15.8,8029.13
25.4197,80.9289,37.4,1720.66,27.18,6.74,16.3,8926.89
12.7079,91.683,28.1,2127.58,31.61,4.77,5.0,7416.01
26.6553,93.6719,32.8,1857.59,27.41,3.98,26.4,5840.28
18.4419,70.5145,26.2,2102.94,34.01,4.67,24.4,7292.88
33.2917,83.6125,39.0,1773.47,25.66,7.09,35.9,9205.19
11.7131,94.4837,299.0,2239.9,34.4,53.16,5.0,80200.71
17.2088,79.2512,51.6,1978.45,32.92,9.36,25.0,14060.44
11.0638,92.0574,52.8,2235.9,32.88,8.16,19.4,14543.58
32.9667,71.8772,34.1,1708.29,22.75,6.81,29.5,10208.12
31.6882,95.1264,25.5,1835.82,22.84,4.63,34.0,6951.08
14.9644,89.7913,108.5,1957.94,31.62,18.04,14.8,28762.92
25.8196,95.2987,90.8,1898.06,26.14,17.69,34.7,25964.81
30.065,87.6219,39.6,1644.05,27.49,7.64,30.2,9841.08
22.9904,78.5387,48.6,1908.8,27.3,8.99,32.2,12967.14
22.3006,95.2073,102.9,1977.82,26.96,16.98,16.3,25385.86
14.53,75.9914,128.7,2040.78,35.95,20.88,11.4,32442.87
10.5138,77.633,42.6,2070.72,32.97,6.23,16.1,9328.06
32.2248,88.3234,142.2,1831.64,24.41,19.92,37.9,27834.8
32.3113,90.1942,71.4,1754.12,24.96,11.49,37.0,14590.92
25.0937,94.9527,439.6,1853.15,25.03,73.07,32.3,105779.84
17.1538,73.9393,140.6,2038.58,33.35,19.62,21.2,28360.44
17.4287,91.1419,31.8,2241.22,32.03,6.16,20.2,10397.79
27.6008,89.4178,81.4,1939.47,29.3,13.39,26.8,20355.95
32.222,69.85,145.2,1857.01,22.74,23.54,31.6,35342.89
31.9513,79.2295,112.8,1803.72,24.42,17.46,30.1,25427.28
29.0566,76.2002,88.1,1834.3,25.6,10.98,31.5,15392.8
25.3349,76.8302,427.1,1696.29,27.73,81.41,23.5,108516.94
10.2718,96.5055,29.1,2104.79,31.07,4.23,5.0,6506.55
12.364,86.6405,25.3,2083.0,33.26,4.34,5.0,6010.76
32.261,88.8126,104.4,1613.31,21.23,17.6,40.8,22489.91
24.3736,96.3219,37.0,1812.68,28.35,6.17,14.9,8486.23
8.2483,78.9389,44.8,2037.06,30.63,7.26,5.0,11731.51
10.7397,91.2534,33.7,2147.62,30.06,4.53,9.6,7400.92
25.9145,80.6014,131.5,1943.04,28.58,18.73,21.2,25371.67
8.1367,93.2165,29.3,2286.08,33.84,4.75,6.3,8086.9
12.3418,73.2391,107.5,2155.03,31.07,19.7,5.0,32999.2
22.8158,95.4829,26.3,1856.24,30.87,4.06,15.4,5746.7
26.6812,74.3444,31.6,1709.17,27.25,4.3,32.7,5537.59
25.603,77.4604,45.7,1742.6,28.82,5.81,30.8,7018.68
14.0553,89.9296,26.5,1989.49,31.94,4.58,6.1,6399.73
27.2288,79.4189,131.0,1782.77,31.71,20.16,30.6,27651.51
14.4057,85.6381,249.0,2071.92,30.91,32.38,16.6,46531.39
16.7858,80.8926,53.4,1960.72,34.54,9.3,21.1,13290.55
28.1553,89.5287,23.3,1864.32,25.81,3.18,27.6,4611.11
25.5401,74.6216,124.6,1865.7,23.8,20.02,20.9,30529.99
30.929,69.6953,27.9,1788.12,25.65,4.03,34.2,5721.72
25.7555,76.698,39.6,1971.62,27.64,7.71,23.2,12201.6
23.3443,81.755,119.9,1829.38,25.99,16.58,17.7,23516.69
10.5292,72.8726,84.5,2187.97,32.02,12.98,8.7,20506.96
17.9283,78.2891,34.2,2020.17,30.48,6.74,23.2,9909.76
15.1605,79.5995,32.1,2044.43,32.48,4.67,14.7,6877.42
14.5877,69.6644,481.6,2152.24,27.09,82.62,10.6,139898.7
34.2713,84.9159,29.6,1797.44,25.28,4.3,40.9,5697.08
18.6136,93.646,214.2,1933.24,29.23,27.6,26.2,39189.28
32.0853,72.4005,278.0,1751.89,21.5,47.31,30.8,65364.42
25.0407,85.3364,117.0,1915.76,29.21,22.6,22.5,35656.47
29.4599,87.2774,40.9,1791.88,25.3,6.39,31.7,9151.32
21.5712,80.1607,142.4,2002.52,31.33,24.22,12.7,34508.59
23.5764,88.3318,46.5,1942.12,28.87,7.84,27.4,11646.3
21.298,79.9112,28.6,2107.24,29.01,4.39,26.9,7555.81
13.2716,82.6345,95.5,1982.69,32.32,16.16,11.2,24851.75
27.5062,68.2132,42.4,1839.09,27.19,5.97,21.0,7658.12
15.5809,88.0599,47.5,1990.86,30.76,7.14,6.2,10044.09
8.6565,87.1789,83.7,2236.51,33.0,13.01,11.4,20707.9
25.4278,69.1136,94.4,1756.93,28.38,17.86,20.8,25525.29
12.782,78.6793,47.0,2141.63,32.56,6.95,12.1,11940.01
33.3924,96.3919,30.8,1692.53,23.64,5.25,31.1,6704.8
33.7561,80.2014,34.4,1677.66,25.59,4.72,27.3,5846.4
32.7013,82.5564,47.1,1639.66,23.66,6.61,32.9,8513.88
17.9943,94.388,130.2,1982.9,30.53,22.38,17.2,33892.21
8.4173,88.8006,74.3,2279.25,33.61,13.45,10.9,21813.2
33.0646,84.88,82.5,1746.82,24.58,12.95,28.1,17194.13
19.561,91.1363,30.6,2042.12,30.5,4.49,13.9,6375.21
34.0997,93.0666,47.4,1863.38,25.06,9.14,40.4,13859.85
34.0177,81.2498,50.0,1752.78,22.13,6.54,38.1,8147.74
31.0313,81.7781,43.2,1740.73,23.72,7.68,36.5,9396.72
15.9501,79.1955,34.5,2094.28,33.01,6.05,8.4,9553.54
18.3976,96.0345,20.3,1969.3,30.83,3.56,12.9,4927.66
30.9807,88.2178,40.9,1745.99,22.85,7.97,32.5,10625.06
16.5569,70.4135,88.9,1924.38,33.76,15.85,23.7,22536.22
12.5763,93.0258,113.3,2191.73,29.54,16.33,20.4,27668.36
23.0336,81.9362,110.7,1898.51,29.8,16.41,29.7,23100.85
33.2762,69.9939,34.4,1759.6,21.1,5.21,24.1,7691.72
26.7928,83.9418,480.5,1778.85,30.31,58.85,33.2,78378.38
23.3917,80.0978,158.1,1957.83,24.98,30.53,31.4,48218.5
10.6238,93.4547,41.4,2091.82,36.12,5.21,5.0,8096.67
24.6052,73.9158,91.0,1889.77,27.36,16.01,22.9,25736.89
34.7315,91.9675,121.4,1789.06,22.24,21.66,35.5,32106.28
11.7823,84.173,117.5,2195.18,33.67,22.04,6.4,35922.98
21.9949,69.5837,20.3,1946.33,29.97,3.34,22.3,5120.98
31.6891,96.1835,28.6,1632.15,22.53,5.08,39.4,6296.64
28.0008,82.8658,68.9,2079.41,24.37,9.94,35.3,15592.89
26.8194,76.4354,25.0,2000.92,27.83,4.49,35.6,6305.84
26.9671,81.6128,405.0,1916.41,23.05,59.72,26.6,86247.45
17.7063,92.8779,74.0,1965.03,29.46,14.22,15.9,23485.36
15.927,76.8422,34.2,2048.23,37.51,4.56,19.2,6439.14
29.8528,73.5876,74.7,1763.18,23.23,10.85,28.2,14462.29
29.8731,71.7431,108.0,1907.39,27.45,17.27,20.7,24626.49
31.411,76.6379,41.6,1799.6,23.29,7.58,35.8,10539.33
32.6575,90.6214,29.9,1693.43,24.92,5.38,28.3,7149.71
21.8062,81.6772,361.1,1913.83,30.1,49.41,12.8,68651.24
21.5409,74.597,132.5,2045.96,31.16,17.43,12.0,26936.19
29.554,72.8194,22.8,1940.04,24.9,3.29,38.2,5128.72
25.549,77.6492,41.3,2006.38,31.08,6.56,20.6,10492.49
26.9531,95.2578,82.3,1919.41,25.29,13.43,25.9,19752.47
29.4864,77.9478,62.3,1793.03,25.8,9.61,38.5,13433.5
32.0301,96.6556,36.4,1508.14,24.68,6.29,31.4,6970.59
17.1259,82.0717,72.6,2059.51,28.65,11.2,8.7,16657.36
18.1407,73.1958,44.6,2017.32,29.86,8.74,19.2,12653.92
10.5375,93.8431,21.3,2165.52,34.18,3.0,5.0,4789.16
23.6136,81.3503,59.9,1923.27,27.11,10.19,15.5,14153.91
8.9704,88.5805,35.6,2076.43,39.45,6.02,16.0,8309.21
20.5711,96.5276,356.1,2018.31,27.67,50.76,16.4,76553.09
22.6514,69.4551,41.9,1986.85,30.77,6.41,26.2,8770.94
15.7366,70.8041,75.9,2115.33,33.23,11.33,15.9,19267.85
23.9525,88.8932,45.3,1988.58,27.79,6.05,18.4,8870.29
8.8235,76.1729,48.6,2233.5,32.9,7.69,9.2,13598.3
9.0084,73.3447,99.9,2149.05,33.01,15.08,5.0,23579.08
30.2102,69.1415,42.8,1794.55,23.97,5.75,27.2,7529.21
17.7251,68.6336,102.5,2032.24,27.05,15.99,18.2,26579.48
11.4306,90.4601,56.9,2146.86,31.45,8.76,6.0,14120.14
22.1006,71.8986,82.6,2026.05,25.69,10.78,25.3,18412.94
28.7898,81.5639,58.7,1877.28,28.34,7.67,19.8,10531.6
13.8272,85.571,148.9,2261.3,33.61,25.58,13.5,42555.65
24.818,80.4222,72.9,2073.79,29.0,12.87,29.1,21236.18
10.3044,68.7861,113.6,2164.89,35.14,22.18,8.9,37593.45
9.3954,90.7215,249.5,1867.95,34.71,31.68,16.9,43701.34
22.3466,68.3049,39.6,2040.71,31.47,5.13,25.0,9207.42
22.5971,90.0948,71.0,1894.02,27.21,8.82,31.8,12383.46
25.2106,93.9058,43.6,1826.09,27.47,7.08,20.9,9229.94
27.6045,80.5524,23.3,1815.24,27.67,3.96,36.4,5130.22
34.348,83.5307,46.9,1690.0,20.5,7.14,36.5,9389.17
21.9401,81.8325,134.0,1998.06,34.92,24.64,26.8,39094.06
16.7198,79.287,117.9,1918.29,31.13,20.62,24.8,29096.22
29.47,93.7353,56.7,1727.32,25.62,11.28,30.5,16296.67
15.3125,93.9241,26.3,2095.83,34.22,3.44,22.6,5413.45
19.8522,77.7387,45.8,2036.5,31.5,5.71,20.7,9289.7
10.1183,85.837,192.7,2213.19,34.12,27.36,12.1,46112.63
8.6845,94.8803,24.7,2124.72,34.95,3.0,7.6,4848.41
33.9915,95.8997,36.3,1653.89,20.3,7.07,26.9,9436.89
30.5715,82.7598,28.2,1753.18,23.73,4.07,31.6,5417.97
26.7913,81.1319,72.2,1880.95,27.58,11.86,36.3,16262.7
19.0417,76.0821,37.3,2120.09,30.92,5.42,24.8,8750.19
12.6789,95.8073,31.2,1951.98,35.34,4.35,17.6,6862.03
12.2238,72.1416,64.1,2106.31,32.86,8.47,15.1,12332.87
14.7566,84.8151,36.0,1971.77,29.18,5.25,11.7,7068.62
22.8291,76.194,88.7,1800.9,30.44,15.01,16.2,19950.24
27.2941,76.0912,42.0,1930.06,29.19,8.31,21.8,12720.85
25.8253,79.7441,23.1,1922.71,28.78,3.8,16.0,5460.6
15.5582,96.965,112.1,2099.91,31.27,18.22,19.0,27108.21
33.7814,69.594,93.6,1809.62,25.49,11.5,40.0,15960.35
27.9232,84.7777,90.6,1803.0,32.89,16.96,23.3,20804.62
22.9676,70.3946,73.2,1895.97,28.49,9.05,14.8,13278.22
24.5165,72.4811,20.9,2077.56,24.94,4.03,21.2,6367.73
19.3292,80.7473,45.4,1976.35,28.73,7.41,15.2,11066.53
14.6887,82.8033,29.8,2138.41,33.24,3.98,13.7,6537.45
17.6113,75.505,388.4,2027.51,27.47,60.64,12.9,94572.56
28.4618,77.1773,481.7,1683.83,26.13,96.14,25.3,121119.79
8.3886,70.522,347.7,2029.43,35.59,50.22,16.5,78106.68
11.134,76.7934,31.9,2097.27,36.66,4.52,7.8,7257.52
9.2421,96.0302,76.8,2262.13,37.06,9.94,15.0,14951.12
9.0997,95.3965,143.4,2243.27,36.23,24.06,11.6,39444.23
31.0974,77.7115,118.2,1857.37,20.28,15.03,27.8,20782.83
26.9988,84.5548,116.5,1779.06,28.29,21.12,33.4,26571.3
20.8027,94.3783,92.6,2098.82,30.65,17.92,22.7,29272.76
10.6415,68.1793,45.4,2075.26,34.32,8.82,5.0,13228.67
21.2736,91.5098,41.4,1978.1,25.57,5.33,12.6,7935.75
20.7837,95.5027,28.5,1969.06,27.69,4.69,25.8,6782.62
12.6765,70.6484,38.0,2101.91,30.56,4.85,11.6,7893.13
19.714,72.682,32.9,2096.24,25.7,5.45,17.8,9135.5
18.7596,95.8616,20.2,1949.92,30.15,3.74,11.7,6044.37
24.628,83.5887,44.2,1792.73,25.92,7.21,17.8,9749.22
25.1475,68.4117,62.3,1892.94,32.53,11.82,31.1,15419.93
9.2232,75.4713,328.5,2146.0,34.11,60.49,15.8,93226.84
18.1145,81.0484,83.6,2288.13,33.04,11.88,19.3,21313.31
24.8982,88.0944,30.3,1949.95,24.26,5.16,20.8,7474.36
21.5847,89.2617,34.3,1922.73,27.83,4.14,30.2,5536.2
31.1252,96.8672,49.9,1699.26,24.79,7.57,33.6,9592.6
25.7847,76.3378,292.9,1729.45,25.18,40.73,31.7,52488.62
12.3992,83.6084,68.2,2038.8,32.18,13.3,5.0,18999.96
9.9054,83.4664,38.4,2174.9,33.71,5.85,8.9,9653.73
25.3453,79.7637,73.6,2001.97,26.73,12.69,32.8,19165.01
8.7158,72.9057,23.2,2276.85,38.39,4.14,5.5,7163.22
23.8159,96.3462,167.6,1933.64,28.64,30.47,28.3,43675.62
33.3862,92.7462,20.7,1717.19,24.54,3.7,36.5,5055.3
23.5378,82.4517,32.9,1941.82,29.09,4.71,16.6,6701.7
18.4806,85.4941,92.7,1969.86,31.51,16.21,24.0,22510.4
25.3688,74.5906,214.9,2024.83,27.02,35.23,17.6,52445.15
20.3728,83.7698,424.4,1962.15,28.79,71.21,24.9,97299.27
22.7317,88.1541,62.9,1927.92,28.7,7.56,32.6,11842.1
33.4195,82.9398,47.5,1565.18,25.87,6.68,42.6,7959.69
18.4248,96.7183,37.6,1996.72,32.56,7.32,24.4,10424.73
33.9521,85.7289,159.7,1799.78,22.84,22.87,34.6,31705.6
32.4445,78.7582,146.3,1674.58,25.54,22.68,35.9,25666.61
13.2864,90.3924,80.8,2044.79,32.23,10.9,17.8,17844.99
9.8728,72.9434,33.5,2229.71,34.23,4.39,5.0,7729.96
10.721,79.151,78.4,2032.89,32.83,10.72,5.0,16270.34
8.492,78.0618,41.9,2275.77,34.42,6.88,10.4,11870.93
10.55,80.5224,98.6,2111.53,36.54,19.08,5.0,27607.32
26.4412,90.6716,196.3,1836.97,26.89,28.68,34.6,37406.18
9.9221,82.041,60.4,2075.49,34.41,8.81,9.7,12553.15
16.6123,91.0264,41.8,2075.22,28.23,6.9,11.8,10776.82
30.8116,84.7182,27.1,1986.18,24.12,4.03,28.7,6555.79
8.6283,77.92,24.1,2251.21,34.23,4.65,15.6,7550.53
29.9906,91.4894,324.8,1735.03,23.45,48.79,38.5,65861.42
15.6101,74.9104,44.1,2153.87,31.62,7.02,7.9,11766.09
11.1905,74.5071,77.9,2117.24,32.71,12.67,16.7,18321.38
26.8119,82.6306,77.6,1971.34,26.69,14.17,28.4,23526.82
24.9815,75.5646,133.4,1958.87,27.6,22.02,26.7,35040.58
31.6917,68.2635,201.7,1538.1,22.43,28.07,37.3,34311.67
27.8469,86.8006,111.7,1762.43,25.27,14.51,22.3,20499.14
29.694,82.8217,484.3,1885.06,25.39,94.44,30.3,145102.29
15.6149,80.92,45.2,2075.06,33.94,8.33,12.0,13047.53
